Order_ID,Order_Date,Warehouse_ID,Product_ID,Product_Category,Units_Ordered,Unit_Cost,Total_sales,Transport_Mode,Distance_km,Delivery_Time_days,Stock_Availability,Delivery_Status
O10171,2023-09-05,WH-008,P32235,Automotive,43,248.5,10685.5,Rail,633,10,No,Delayed
O10172,2023-05-05,WH-002,P37838,Furniture,27,466.42,12593.34,Rail,258,4,Yes,Cancelled
O10173,2023-08-26,WH-002,P99189,Groceries,29,26.37,764.73,Air,1551,9,Yes,Cancelled
O10174,2023-08-30,WH-005,P51061,Furniture,6,232.71,1396.26,Sea,1602,1,Yes,On-Time
O10175,2023-10-24,WH-005,P81918,Automotive,42,282.2,11852.4,Rail,1535,12,Yes,On-Time
O10176,2023-07-05,WH-005,P17169,Automotive,12,106.46,1277.52,Air,1572,8,Yes,Delayed
O10177,2023-04-16,WH-002,P97283,Electronics,25,89.99,2249.75,Road,1635,7,No,On-Time
O10178,2023-05-14,WH-003,P96913,Automotive,26,361.4,9396.4,Road,767,4,Yes,On-Time
O10179,2023-09-02,WH-007,P33675,Apparel,26,440.94,11464.44,Sea,181,6,Yes,Delayed
O10180,2023-08-16,WH-007,P30403,Toys,19,387.54,7363.26,Rail,249,9,Yes,Cancelled
O10181,2023-01-20,WH-008,P24105,Toys,24,471.09,11306.16,Air,672,2,No,Delayed
O10182,2023-03-27,WH-001,P74569,Electronics,12,140.24,1682.88,Road,860,9,Yes,Delayed
O10183,2023-06-19,WH-006,P23239,Automotive,48,334.17,16040.16,Road,956,6,Yes,Delayed
O10184,2023-04-04,WH-002,P29319,Electronics,9,437.44,3936.96,Rail,58,15,Yes,Cancelled
O10185,2023-04-07,WH-006,P16599,Electronics,48,56.53,2713.44,Rail,925,6,Yes,Delayed
O10186,2023-03-02,WH-010,P41268,Furniture,29,409.8,11884.2,Rail,215,10,No,Cancelled
O10187,2023-02-24,WH-001,P13438,Furniture,4,379.08,1516.32,Sea,626,7,Yes,Cancelled
O10188,2023-06-08,WH-001,P33610,Furniture,36,431.76,15543.36,Air,1101,3,No,On-Time
O10189,2023-03-09,WH-008,P95785,Apparel,12,137.32,1647.84,Rail,449,5,No,Cancelled
O10190,2023-06-25,WH-008,P38233,Groceries,17,168.52,2864.84,Road,91,11,No,On-Time
O10191,2023-08-17,WH-009,P63991,Apparel,32,352.4,11276.8,Road,1349,15,Yes,Cancelled
O10192,2023-05-07,WH-002,P78036,Electronics,23,495.58,11398.34,Road,1489,5,No,Cancelled
O10193,2023-02-24,WH-001,P93115,Automotive,8,403.83,3230.64,Air,1761,15,No,On-Time
O10194,2023-10-15,WH-008,P29395,Electronics,32,233.54,7473.28,Road,841,11,Yes,Delayed
O10195,2023-12-26,WH-009,P14370,Furniture,45,319.06,14357.7,Rail,794,15,Yes,Delayed
O10196,2023-05-14,WH-008,P21932,Toys,49,271.13,13285.369999999999,Rail,820,15,Yes,Cancelled
O10197,2023-10-19,WH-005,P79269,Furniture,18,477.1,8587.800000000001,Road,1852,1,No,Cancelled
O10198,2023-11-15,WH-005,P87689,Automotive,29,305.36,8855.44,Road,501,9,No,Cancelled
O10199,2023-01-12,WH-007,P47273,Groceries,5,386.17,1930.8500000000001,Air,951,7,No,On-Time
O10200,2023-02-18,WH-008,P37381,Electronics,34,373.12,12686.08,Rail,948,12,Yes,Delayed
O10201,2023-02-10,WH-008,P68188,Electronics,20,82.72,1654.4,Road,1746,11,Yes,Cancelled
O10202,2023-11-03,WH-006,P43043,Automotive,3,102.11,306.33,Sea,150,3,No,Delayed
O10203,2023-02-15,WH-006,P90048,Apparel,48,290.73,13955.04,Air,1224,15,Yes,On-Time
O10204,2023-06-12,WH-008,P35663,Toys,18,497.63,8957.34,Air,1842,2,No,Cancelled
O10205,2023-01-15,WH-003,P66100,Apparel,50,230.84,11542.0,Rail,115,11,No,Cancelled
O10206,2023-11-19,WH-010,P17174,Furniture,36,273.79,9856.44,Air,1638,10,Yes,Delayed
O10207,2023-05-02,WH-006,P63408,Toys,50,398.34,19917.0,Road,991,10,No,On-Time
O10208,2023-05-11,WH-006,P21212,Automotive,40,409.36,16374.400000000001,Air,1202,5,No,Cancelled
O10209,2023-04-28,WH-001,P75702,Automotive,44,232.06,10210.64,Road,1721,6,Yes,Delayed
O10210,2023-04-19,WH-001,P18766,Toys,2,109.76,219.52,Road,334,2,No,Cancelled
O10211,2023-06-11,WH-004,P41360,Automotive,3,245.04,735.12,Road,85,7,Yes,On-Time
O10212,2023-10-30,WH-001,P48953,Toys,19,48.55,922.4499999999999,Rail,1488,5,Yes,On-Time
O10213,2023-11-21,WH-008,P86590,Toys,18,358.9,6460.2,Air,983,9,No,Delayed
O10214,2023-06-30,WH-009,P96109,Automotive,41,471.62,19336.420000000002,Sea,599,4,Yes,Delayed
O10215,2023-03-19,WH-001,P62535,Electronics,24,249.71,5993.04,Air,390,4,No,Cancelled
O10216,2023-01-30,WH-008,P67587,Furniture,15,319.06,4785.9,Air,317,10,Yes,Cancelled
O10217,2023-03-29,WH-001,P94861,Automotive,28,264.39,7402.92,Road,1440,14,Yes,On-Time
O10218,2023-07-09,WH-008,P71658,Groceries,47,76.38,3589.8599999999997,Rail,1694,14,No,On-Time
O10219,2023-09-19,WH-003,P91959,Toys,50,212.55,10627.5,Rail,1053,5,Yes,Cancelled
O10220,2023-04-16,WH-001,P32308,Automotive,12,294.07,3528.84,Road,1326,11,No,Cancelled
O10221,2023-08-14,WH-006,P44638,Apparel,43,410.79,17663.97,Road,1891,11,No,Delayed
O10222,2023-04-09,WH-004,P93117,Furniture,9,136.42,1227.78,Sea,113,3,No,Cancelled
O10223,2023-02-22,WH-006,P57658,Automotive,39,361.93,14115.27,Sea,1922,12,No,On-Time
O10224,2023-03-16,WH-007,P79920,Apparel,11,110.6,1216.6,Rail,1635,3,No,On-Time
O10225,2023-08-24,WH-001,P87020,Toys,31,92.07,2854.1699999999996,Rail,1047,9,No,Delayed
O10226,2023-11-01,WH-003,P17940,Electronics,38,202.18,7682.84,Rail,1086,1,No,Delayed
O10227,2023-10-26,WH-001,P83884,Toys,17,479.52,8151.84,Rail,688,15,Yes,On-Time
O10228,2023-05-01,WH-005,P75032,Groceries,49,438.83,21502.67,Road,1870,5,Yes,Delayed
O10229,2023-11-01,WH-002,P22110,Electronics,16,52.54,840.64,Rail,1941,6,Yes,Delayed
O10230,2023-08-19,WH-002,P42617,Toys,39,152.18,5935.02,Sea,93,3,No,Cancelled
O10231,2023-07-26,WH-009,P43911,Apparel,44,411.96,18126.239999999998,Rail,1492,3,Yes,Cancelled
O10232,2023-03-03,WH-010,P20841,Groceries,7,207.95,1455.6499999999999,Road,1221,14,No,Delayed
O10233,2023-05-03,WH-008,P79145,Toys,17,395.09,6716.53,Road,254,15,Yes,Cancelled
O10234,2023-10-22,WH-003,P20008,Apparel,43,222.47,9566.21,Rail,56,7,Yes,Delayed
O10235,2023-10-07,WH-010,P22214,Apparel,10,109.31,1093.1,Sea,981,7,No,Cancelled
O10236,2023-03-11,WH-009,P16330,Automotive,22,325.78,7167.16,Air,1293,13,Yes,Cancelled
O10237,2023-08-25,WH-005,P81271,Furniture,18,104.1,1873.8,Air,225,3,Yes,Delayed
O10238,2023-08-10,WH-010,P26405,Apparel,46,155.44,7150.24,Rail,72,6,Yes,On-Time
O10239,2023-10-22,WH-010,P39340,Furniture,47,171.46,8058.620000000001,Rail,839,5,No,Delayed
O10240,2023-12-24,WH-001,P73486,Groceries,29,160.24,4646.96,Air,1448,13,Yes,Cancelled
O10241,2023-10-21,WH-007,P53280,Furniture,34,347.59,11818.06,Sea,441,13,No,On-Time
O10242,2023-04-16,WH-001,P90746,Groceries,23,68.57,1577.11,Rail,1950,9,No,On-Time
O10243,2023-03-03,WH-003,P46474,Apparel,47,327.18,15377.460000000001,Rail,1528,3,Yes,Cancelled
O10244,2023-02-15,WH-008,P31966,Toys,8,98.93,791.44,Sea,1133,14,Yes,On-Time
O10245,2023-11-10,WH-003,P31308,Apparel,43,112.56,4840.08,Air,1509,12,No,Delayed
O10246,2023-06-27,WH-002,P52772,Apparel,32,310.37,9931.84,Road,657,6,No,On-Time
O10247,2024-01-01,WH-006,P40841,Electronics,28,34.27,959.5600000000001,Sea,642,8,Yes,Delayed
O10248,2023-08-25,WH-001,P30384,Furniture,40,431.25,17250.0,Rail,1818,8,Yes,Cancelled
O10249,2023-11-21,WH-002,P66960,Electronics,23,415.64,9559.72,Road,1110,11,Yes,Delayed
O10250,2023-07-08,WH-006,P45974,Automotive,48,436.57,20955.36,Air,1579,4,No,On-Time
O10251,2023-02-19,WH-001,P81271,Automotive,47,196.47,9234.09,Rail,1644,2,Yes,Cancelled
O10252,2023-04-27,WH-010,P92744,Electronics,29,140.29,4068.41,Air,1252,8,No,On-Time
O10253,2023-06-11,WH-004,P61150,Furniture,47,449.14,21109.579999999998,Road,1806,14,Yes,Delayed
O10254,2023-02-20,WH-006,P92488,Automotive,30,147.41,4422.3,Air,1967,2,Yes,On-Time
O10255,2023-12-19,WH-004,P47607,Furniture,32,183.68,5877.76,Sea,828,1,Yes,Cancelled
O10256,2023-06-05,WH-007,P59556,Automotive,36,444.24,15992.64,Rail,382,9,No,On-Time
O10257,2023-08-07,WH-008,P66465,Toys,27,23.28,628.5600000000001,Rail,83,3,No,Cancelled
O10258,2023-07-30,WH-009,P20271,Groceries,28,422.11,11819.08,Rail,1350,1,Yes,On-Time
O10259,2023-06-03,WH-002,P99903,Toys,17,348.82,5929.94,Road,938,14,Yes,Cancelled
O10260,2023-09-03,WH-008,P70091,Electronics,25,455.22,11380.5,Air,995,6,Yes,On-Time
