Order_ID,Order_Date,Warehouse_ID,Product_ID,Product_Category,Units_Ordered,Unit_Cost,Transport_Mode,Distance_km,Delivery_Time_days,Stock_Availability,Delivery_Status
O10124,2023-03-13,WH-003,P52102,Electronics,36,37.92,Road,132,7,No,Delayed
O10125,2023-06-01,WH-006,P66289,Automotive,9,387.39,Road,1527,11,No,Cancelled
O10126,2023-12-25,WH-007,P90359,Automotive,11,341.63,Sea,1919,10,No,On-Time
O10127,2023-11-30,WH-008,P65064,Apparel,42,118.52,Air,241,5,Yes,Cancelled
O10128,2023-01-09,WH-001,P83894,Furniture,1,279.45,Air,1720,5,Yes,Cancelled
O10129,2023-10-24,WH-009,P58044,Automotive,21,424.55,Air,634,8,Yes,Cancelled
O10130,2023-02-18,WH-009,P93019,Groceries,7,422.23,Air,439,3,No,On-Time
O10131,2023-11-25,WH-005,P63755,Groceries,10,99.96,Air,525,9,No,Delayed
O10132,2023-07-11,WH-002,P14106,Apparel,26,124.95,Road,187,3,Yes,Delayed
O10133,2023-02-15,WH-006,P25023,Apparel,5,305.29,Sea,1654,1,No,On-Time
O10134,2023-02-20,WH-007,P42656,Apparel,35,449.63,Rail,65,8,No,Cancelled
O10135,2023-08-24,WH-010,P57393,Groceries,11,24.56,Sea,1588,1,Yes,On-Time
O10136,2023-02-17,WH-005,P90470,Furniture,9,410.6,Road,681,1,No,Delayed
O10137,2023-08-10,WH-005,P49000,Automotive,24,39.53,Sea,1386,14,No,Cancelled
O10138,2023-01-13,WH-002,P47256,Electronics,36,234.07,Air,1319,6,No,Delayed
O10139,2023-12-28,WH-008,P93589,Electronics,36,216.4,Air,1329,10,No,On-Time
O10140,2023-07-09,WH-003,P26813,Electronics,47,168.79,Air,623,11,No,Cancelled
O10141,2023-01-20,WH-009,P49141,Furniture,35,142.68,Road,1275,13,Yes,Cancelled
O10142,2023-07-14,WH-004,P22440,Furniture,27,154.95,Rail,1848,14,No,Cancelled
O10143,2023-06-11,WH-010,P57673,Apparel,35,453.48,Sea,1026,11,No,On-Time
O10144,2023-12-05,WH-007,P41586,Apparel,45,194.34,Road,949,4,No,Cancelled
O10145,2023-12-12,WH-002,P60441,Groceries,3,89.91,Rail,1314,4,Yes,Delayed
O10146,2023-10-03,WH-005,P18828,Automotive,2,318.82,Road,1070,15,Yes,Cancelled
O10147,2023-08-30,WH-003,P70487,Electronics,16,475.94,Rail,1156,5,Yes,Delayed
O10148,2023-09-01,WH-001,P55623,Toys,26,226.98,Sea,318,1,No,On-Time
O10149,2023-12-27,WH-003,P18374,Groceries,47,379.44,Air,1865,13,No,Cancelled
O10150,2023-07-07,WH-010,P88031,Furniture,26,255.77,Road,1097,8,Yes,On-Time
O10151,2023-01-21,WH-002,P20819,Furniture,27,289.28,Road,996,12,No,On-Time
O10152,2023-10-07,WH-010,P17850,Toys,32,317.79,Air,1726,13,No,Delayed
O10153,2023-11-29,WH-004,P61222,Apparel,47,136.24,Sea,1978,8,No,Cancelled
O10154,2023-10-09,WH-001,P66424,Groceries,26,313.62,Air,984,1,Yes,Cancelled
O10155,2023-07-25,WH-008,P35990,Toys,32,443.77,Air,1014,2,No,Cancelled
O10156,2023-07-23,WH-002,P18733,Furniture,46,356.77,Air,1934,11,Yes,On-Time
O10157,2023-09-11,WH-010,P98747,Apparel,36,245.09,Air,1221,3,Yes,Delayed
O10158,2023-07-17,WH-007,P46486,Groceries,5,422.48,Air,1471,3,No,On-Time
O10159,2023-08-08,WH-006,P26257,Automotive,47,429.36,Rail,1400,15,Yes,Cancelled
O10160,2023-09-08,WH-001,P72112,Electronics,41,146.64,Road,1213,14,No,On-Time
O10161,2023-11-05,WH-009,P55216,Toys,6,432.04,Rail,815,2,Yes,On-Time
O10162,2023-04-04,WH-008,P56435,Furniture,10,43.11,Road,1900,6,No,Cancelled
O10163,2023-07-29,WH-010,P33105,Groceries,1,332.53,Air,488,6,No,On-Time
O10164,2023-10-17,WH-010,P12065,Groceries,40,462.97,Air,805,13,Yes,Delayed
O10165,2023-06-08,WH-004,P57310,Groceries,16,241.35,Air,1536,9,No,On-Time
O10166,2023-08-12,WH-004,P66356,Automotive,8,416.38,Air,265,2,No,On-Time
O10167,2023-01-11,WH-009,P56093,Toys,27,57.23,Sea,122,10,Yes,Delayed
O10168,2023-01-31,WH-002,P34790,Automotive,35,366.65,Air,366,11,Yes,On-Time
O10169,2023-01-01,WH-007,P80663,Groceries,5,98.15,Air,1168,2,Yes,On-Time
O10170,2023-07-06,WH-001,P59375,Apparel,27,444.06,Air,50,7,No,Cancelled
O10171,2023-09-05,WH-008,P32235,Automotive,43,248.5,Rail,633,10,No,Delayed
O10172,2023-05-05,WH-002,P37838,Furniture,27,466.42,Rail,258,4,Yes,Cancelled
O10173,2023-08-26,WH-002,P99189,Groceries,29,26.37,Air,1551,9,Yes,Cancelled
O10174,2023-08-30,WH-005,P51061,Furniture,6,232.71,Sea,1602,1,Yes,On-Time
O10175,2023-10-24,WH-005,P81918,Automotive,42,282.2,Rail,1535,12,Yes,On-Time
O10176,2023-07-05,WH-005,P17169,Automotive,12,106.46,Air,1572,8,Yes,Delayed
O10177,2023-04-16,WH-002,P97283,Electronics,25,89.99,Road,1635,7,No,On-Time
O10178,2023-05-14,WH-003,P96913,Automotive,26,361.4,Road,767,4,Yes,On-Time
O10179,2023-09-02,WH-007,P33675,Apparel,26,440.94,Sea,181,6,Yes,Delayed
O10180,2023-08-16,WH-007,P30403,Toys,19,387.54,Rail,249,9,Yes,Cancelled
O10181,2023-01-20,WH-008,P24105,Toys,24,471.09,Air,672,2,No,Delayed
O10182,2023-03-27,WH-001,P74569,Electronics,12,140.24,Road,860,9,Yes,Delayed
O10183,2023-06-19,WH-006,P23239,Automotive,48,334.17,Road,956,6,Yes,Delayed
O10184,2023-04-04,WH-002,P29319,Electronics,9,437.44,Rail,58,15,Yes,Cancelled
O10185,2023-04-07,WH-006,P16599,Electronics,48,56.53,Rail,925,6,Yes,Delayed
O10186,2023-03-02,WH-010,P41268,Furniture,29,409.8,Rail,215,10,No,Cancelled
O10187,2023-02-24,WH-001,P13438,Furniture,4,379.08,Sea,626,7,Yes,Cancelled
O10188,2023-06-08,WH-001,P33610,Furniture,36,431.76,Air,1101,3,No,On-Time
O10189,2023-03-09,WH-008,P95785,Apparel,12,137.32,Rail,449,5,No,Cancelled
O10190,2023-06-25,WH-008,P38233,Groceries,17,168.52,Road,91,11,No,On-Time
O10191,2023-08-17,WH-009,P63991,Apparel,32,352.4,Road,1349,15,Yes,Cancelled
O10192,2023-05-07,WH-002,P78036,Electronics,23,495.58,Road,1489,5,No,Cancelled
O10193,2023-02-24,WH-001,P93115,Automotive,8,403.83,Air,1761,15,No,On-Time
O10194,2023-10-15,WH-008,P29395,Electronics,32,233.54,Road,841,11,Yes,Delayed
O10195,2023-12-26,WH-009,P14370,Furniture,45,319.06,Rail,794,15,Yes,Delayed
O10196,2023-05-14,WH-008,P21932,Toys,49,271.13,Rail,820,15,Yes,Cancelled
O10197,2023-10-19,WH-005,P79269,Furniture,18,477.1,Road,1852,1,No,Cancelled
O10198,2023-11-15,WH-005,P87689,Automotive,29,305.36,Road,501,9,No,Cancelled
O10199,2023-01-12,WH-007,P47273,Groceries,5,386.17,Air,951,7,No,On-Time
O10200,2023-02-18,WH-008,P37381,Electronics,34,373.12,Rail,948,12,Yes,Delayed
O10201,2023-02-10,WH-008,P68188,Electronics,20,82.72,Road,1746,11,Yes,Cancelled
O10202,2023-11-03,WH-006,P43043,Automotive,3,102.11,Sea,150,3,No,Delayed
O10203,2023-02-15,WH-006,P90048,Apparel,48,290.73,Air,1224,15,Yes,On-Time
O10204,2023-06-12,WH-008,P35663,Toys,18,497.63,Air,1842,2,No,Cancelled
O10205,2023-01-15,WH-003,P66100,Apparel,50,230.84,Rail,115,11,No,Cancelled
O10206,2023-11-19,WH-010,P17174,Furniture,36,273.79,Air,1638,10,Yes,Delayed
O10207,2023-05-02,WH-006,P63408,Toys,50,398.34,Road,991,10,No,On-Time
O10208,2023-05-11,WH-006,P21212,Automotive,40,409.36,Air,1202,5,No,Cancelled
O10209,2023-04-28,WH-001,P75702,Automotive,44,232.06,Road,1721,6,Yes,Delayed
O10210,2023-04-19,WH-001,P18766,Toys,2,109.76,Road,334,2,No,Cancelled
O10211,2023-06-11,WH-004,P41360,Automotive,3,245.04,Road,85,7,Yes,On-Time
O10212,2023-10-30,WH-001,P48953,Toys,19,48.55,Rail,1488,5,Yes,On-Time
O10213,2023-11-21,WH-008,P86590,Toys,18,358.9,Air,983,9,No,Delayed
O10214,2023-06-30,WH-009,P96109,Automotive,41,471.62,Sea,599,4,Yes,Delayed
O10215,2023-03-19,WH-001,P62535,Electronics,24,249.71,Air,390,4,No,Cancelled
O10216,2023-01-30,WH-008,P67587,Furniture,15,319.06,Air,317,10,Yes,Cancelled
O10217,2023-03-29,WH-001,P94861,Automotive,28,264.39,Road,1440,14,Yes,On-Time
O10218,2023-07-09,WH-008,P71658,Groceries,47,76.38,Rail,1694,14,No,On-Time
O10219,2023-09-19,WH-003,P91959,Toys,50,212.55,Rail,1053,5,Yes,Cancelled
O10220,2023-04-16,WH-001,P32308,Automotive,12,294.07,Road,1326,11,No,Cancelled
O10221,2023-08-14,WH-006,P44638,Apparel,43,410.79,Road,1891,11,No,Delayed
O10222,2023-04-09,WH-004,P93117,Furniture,9,136.42,Sea,113,3,No,Cancelled
O10223,2023-02-22,WH-006,P57658,Automotive,39,361.93,Sea,1922,12,No,On-Time
O10224,2023-03-16,WH-007,P79920,Apparel,11,110.6,Rail,1635,3,No,On-Time
O10225,2023-08-24,WH-001,P87020,Toys,31,92.07,Rail,1047,9,No,Delayed
O10226,2023-11-01,WH-003,P17940,Electronics,38,202.18,Rail,1086,1,No,Delayed
O10227,2023-10-26,WH-001,P83884,Toys,17,479.52,Rail,688,15,Yes,On-Time
O10228,2023-05-01,WH-005,P75032,Groceries,49,438.83,Road,1870,5,Yes,Delayed
O10229,2023-11-01,WH-002,P22110,Electronics,16,52.54,Rail,1941,6,Yes,Delayed
O10230,2023-08-19,WH-002,P42617,Toys,39,152.18,Sea,93,3,No,Cancelled
O10231,2023-07-26,WH-009,P43911,Apparel,44,411.96,Rail,1492,3,Yes,Cancelled
O10232,2023-03-03,WH-010,P20841,Groceries,7,207.95,Road,1221,14,No,Delayed
O10233,2023-05-03,WH-008,P79145,Toys,17,395.09,Road,254,15,Yes,Cancelled
O10234,2023-10-22,WH-003,P20008,Apparel,43,222.47,Rail,56,7,Yes,Delayed
O10235,2023-10-07,WH-010,P22214,Apparel,10,109.31,Sea,981,7,No,Cancelled
O10236,2023-03-11,WH-009,P16330,Automotive,22,325.78,Air,1293,13,Yes,Cancelled
O10237,2023-08-25,WH-005,P81271,Furniture,18,104.1,Air,225,3,Yes,Delayed
O10238,2023-08-10,WH-010,P26405,Apparel,46,155.44,Rail,72,6,Yes,On-Time
O10239,2023-10-22,WH-010,P39340,Furniture,47,171.46,Rail,839,5,No,Delayed
O10240,2023-12-24,WH-001,P73486,Groceries,29,160.24,Air,1448,13,Yes,Cancelled
O10241,2023-10-21,WH-007,P53280,Furniture,34,347.59,Sea,441,13,No,On-Time
O10242,2023-04-16,WH-001,P90746,Groceries,23,68.57,Rail,1950,9,No,On-Time
O10243,2023-03-03,WH-003,P46474,Apparel,47,327.18,Rail,1528,3,Yes,Cancelled
O10244,2023-02-15,WH-008,P31966,Toys,8,98.93,Sea,1133,14,Yes,On-Time
O10245,2023-11-10,WH-003,P31308,Apparel,43,112.56,Air,1509,12,No,Delayed
O10246,2023-06-27,WH-002,P52772,Apparel,32,310.37,Road,657,6,No,On-Time
O10247,2024-01-01,WH-006,P40841,Electronics,28,34.27,Sea,642,8,Yes,Delayed
O10248,2023-08-25,WH-001,P30384,Furniture,40,431.25,Rail,1818,8,Yes,Cancelled
O10249,2023-11-21,WH-002,P66960,Electronics,23,415.64,Road,1110,11,Yes,Delayed
O10250,2023-07-08,WH-006,P45974,Automotive,48,436.57,Air,1579,4,No,On-Time
O10251,2023-02-19,WH-001,P81271,Automotive,47,196.47,Rail,1644,2,Yes,Cancelled
O10252,2023-04-27,WH-010,P92744,Electronics,29,140.29,Air,1252,8,No,On-Time
O10253,2023-06-11,WH-004,P61150,Furniture,47,449.14,Road,1806,14,Yes,Delayed
O10254,2023-02-20,WH-006,P92488,Automotive,30,147.41,Air,1967,2,Yes,On-Time
O10255,2023-12-19,WH-004,P47607,Furniture,32,183.68,Sea,828,1,Yes,Cancelled
O10256,2023-06-05,WH-007,P59556,Automotive,36,444.24,Rail,382,9,No,On-Time
O10257,2023-08-07,WH-008,P66465,Toys,27,23.28,Rail,83,3,No,Cancelled
O10258,2023-07-30,WH-009,P20271,Groceries,28,422.11,Rail,1350,1,Yes,On-Time
O10259,2023-06-03,WH-002,P99903,Toys,17,348.82,Road,938,14,Yes,Cancelled
O10260,2023-09-03,WH-008,P70091,Electronics,25,455.22,Air,995,6,Yes,On-Time
O10261,2023-04-12,WH-009,P67942,Groceries,3,258.52,Air,519,1,No,On-Time
O10262,2023-05-16,WH-004,P17671,Toys,35,402.56,Sea,338,1,Yes,Cancelled
O10263,2023-06-21,WH-010,P61506,Electronics,4,443.83,Rail,1695,15,Yes,On-Time
O10264,2023-06-09,WH-004,P12659,Furniture,39,381.27,Sea,261,3,Yes,Cancelled
O10265,2023-03-15,WH-003,P27720,Automotive,30,159.06,Rail,486,14,No,Delayed
O10266,2023-05-21,WH-004,P64904,Electronics,21,221.79,Rail,1369,14,No,On-Time
O10267,2023-04-01,WH-005,P51839,Groceries,50,465.14,Road,1682,7,No,On-Time
O10268,2023-06-30,WH-009,P19567,Apparel,42,495.74,Road,1721,1,No,Cancelled
O10269,2023-09-13,WH-005,P94375,Electronics,6,174.64,Rail,1689,7,No,Delayed
O10270,2023-09-21,WH-009,P17138,Apparel,31,85.19,Rail,721,11,Yes,Delayed
O10271,2023-03-26,WH-006,P16356,Toys,23,499.51,Air,1460,1,No,On-Time
O10272,2023-12-09,WH-003,P19465,Automotive,43,37.11,Road,520,15,Yes,Cancelled
O10273,2023-05-11,WH-003,P28827,Toys,42,343.92,Air,1343,1,No,Cancelled
O10274,2023-02-25,WH-006,P18133,Automotive,38,486.09,Sea,1146,9,No,Cancelled
O10275,2023-08-14,WH-009,P28308,Apparel,47,34.53,Sea,1547,12,No,Cancelled
O10276,2023-02-27,WH-003,P23398,Electronics,21,386.77,Road,1858,9,Yes,On-Time
O10277,2023-03-09,WH-003,P57669,Furniture,28,238.67,Air,375,12,No,Delayed
O10278,2023-07-02,WH-010,P15321,Electronics,44,131.84,Sea,577,13,Yes,On-Time
O10279,2023-11-05,WH-008,P31307,Toys,28,472.61,Road,224,3,No,Cancelled
O10280,2023-05-22,WH-004,P10063,Apparel,48,179.0,Rail,176,5,Yes,Cancelled
O10281,2023-03-26,WH-002,P31365,Automotive,22,275.05,Road,1701,4,Yes,On-Time
O10282,2023-12-01,WH-003,P52261,Automotive,13,243.14,Sea,1401,5,Yes,Delayed
O10283,2023-03-11,WH-009,P83277,Toys,44,54.68,Sea,711,14,No,On-Time
O10284,2023-09-02,WH-006,P16914,Automotive,46,229.17,Sea,1063,15,Yes,On-Time
O10285,2023-06-09,WH-007,P68474,Groceries,31,236.25,Sea,1996,5,No,On-Time
O10286,2023-01-20,WH-009,P37088,Furniture,23,164.76,Air,483,8,Yes,Delayed
O10287,2023-04-12,WH-008,P56795,Groceries,34,93.86,Air,1909,9,Yes,On-Time
O10288,2023-04-03,WH-002,P60072,Furniture,21,308.83,Road,1689,8,No,Delayed
O10289,2023-04-12,WH-003,P59437,Electronics,6,27.55,Road,1325,7,No,Delayed
O10290,2023-03-13,WH-004,P77232,Automotive,40,9.56,Rail,331,10,Yes,Cancelled
O10291,2023-04-09,WH-008,P62432,Electronics,41,460.31,Air,1317,13,Yes,Cancelled
